YOUR LINE LINE
Damage: 27

00 | 0 Main |   0 | allies=0 | FireGY 0 | Start of Game                              | MEM0                               | HAND7 Rendi, Blazi, Blazi, Corha, Dazzl, March, PChef
01 | 0 Main |   0 | allies=1 | FireGY 0 | Activate Corhazi Courier                   | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
02 | 0 Agil |   0 | allies=1 | FireGY 0 | Main: Pass Opportunity                     | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
03 | 0 End  |   0 | allies=1 | FireGY 0 | End of Agility Phase                       | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
04 | 0 EMai |   0 | allies=1 | FireGY 0 | End of End Phase                           | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
05 | 1 EEnd |   0 | allies=1 | FireGY 0 | Enemy Main Phase                           | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
06 | 1 Wake |   0 | allies=1 | FireGY 0 | End of Enemy End Phase                     | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
07 | 1 Mate |   0 | allies=1 | FireGY 0 | Wake Up Phase                              | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
08 | 1 Mate |   0 | allies=1 | FireGY 0 | Materialize Poisoned Dagger                | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
09 | 1 Reco |   0 | allies=1 | FireGY 0 | Materialization Resolves                   | MEM3 Rendi, Blazi, Blazi           | HAND3 Dazzl, March, PChef
10 | 1 Main |   0 | allies=1 | FireGY 0 | Recollect (draw Corha)                     | MEM0                               | HAND7 Rendi, Blazi, Blazi, Corha, Dazzl, March, PChef
11 | 1 Main |   0 | allies=2 | FireGY 0 | Activate Corhazi Courier                   | MEM3 Blazi, Dazzl, PChef           | HAND3 Rendi, Blazi, March
12 | 1 Main |   0 | allies=3 | FireGY 0 | Activate March Hare, Mottled Host          | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
13 | 1 Main |   1 | allies=3 | FireGY 0 | Attack from Corhazi Courier                | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
